"site_id","datetime","reference_datetime","family","variable","model_id","duration","project_id","depth_m","parameter","prediction"
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"1",9.74357630342558
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"2",7.33915929700649
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"3",9.47524339086147
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"4",10.8767614444841
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"5",10.1780394460458
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"6",8.64381204337548
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"7",10.1482528182765
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"8",9.3577484053012
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"9",7.11062692743673
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"10",7.5676894398335
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"11",11.3687020366695
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"12",8.61939366397802
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"13",11.1982829310491
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"14",8.20206643357007
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"15",9.76756242047672
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"16",10.4217526018292
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"17",10.1016412124408
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"18",8.94363056677064
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"19",8.65278791304963
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"20",11.9912114448875
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"21",9.77125588003579
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"22",6.98307708921312
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"23",8.9714185243372
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"24",7.12659103520449
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"25",8.37302793471376
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"26",8.44761553665715
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"27",9.99124258971123
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"28",8.20398285989031
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"29",9.15414682831162
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"30",8.35289668421987
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"31",6.53970432265089
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"32",11.6582658756403
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"33",10.1562269535098
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"34",9.75693921094312
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"35",9.80771269202185
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"36",7.19845993210661
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"37",11.1609081261258
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"38",8.07313113894369
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"39",11.3973040218354
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"40",9.74409681253372
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"41",9.70418569546105
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"42",10.1886730293147
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"43",10.02373146022
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"44",8.78376683505381
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"45",8.41258731119841
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"46",9.30311166513897
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"47",9.18448925468498
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"48",6.01961823609164
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"49",9.1770701484042
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"50",9.46627832575366
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"51",11.59613620453
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"52",9.60161980096518
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"53",8.62433924978575
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"54",4.72285775694084
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"55",9.97902661667573
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"56",9.34361936852601
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"57",11.4222497801055
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"58",11.1451777903268
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"59",12.2020271369448
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"60",8.35596602952831
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"61",9.26174217523327
"bvre",2023-10-01,2023-10-01,"ensemble","Chla_ugL_mean","fableETS","P1D","vera4cast",1.5,"62",9.70842631896778
