"datetime","site_id","project_id","duration","depth_m","variable","observation"
2020-06-25,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.19310344827586
2020-06-26,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.61951388888889
2020-06-27,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.41083333333333
2020-06-28,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.62159722222222
2020-06-29,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.94305555555556
2020-06-30,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",5.06270833333333
2020-07-01,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",5.24597222222222
2020-07-02,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",5.54992857142857
2020-07-03,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",6.04256944444444
2020-07-04,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",6.53534722222222
2020-07-05,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",6.56576388888889
2020-07-06,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",7.21875
2020-07-07,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",7.44604166666667
2020-07-08,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",7.16104166666667
2020-07-09,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",7.57930555555556
2020-07-10,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",7.16930555555556
2020-07-11,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.714375
2020-07-12,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.95402777777778
2020-07-13,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.79680555555556
2020-07-14,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.394375
2020-07-15,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.22180555555556
2020-07-16,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.14027777777778
2020-07-17,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.86881944444444
2020-07-18,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.66937062937063
2020-07-19,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.31444444444444
2020-07-20,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.89951388888889
2020-07-21,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.09111111111111
2020-07-22,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.89555555555556
2020-07-23,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.84587412587413
2020-07-24,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.05444444444444
2020-07-25,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.16444444444444
2020-07-26,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.88458333333333
2020-07-27,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.58375
2020-07-28,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.48854166666667
2020-07-29,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.70152777777778
2020-07-30,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.81659722222222
2020-07-31,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",1.95125
2020-08-01,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.95527777777778
2020-08-02,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.77180555555556
2020-08-03,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.90451388888889
2020-08-04,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.71381944444444
2020-08-05,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.33784722222222
2020-08-06,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.65683098591549
2020-08-07,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.80131944444444
2020-08-08,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.28451388888889
2020-08-09,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.44465277777778
2020-08-10,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.10486111111111
2020-08-11,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.01201388888889
2020-08-12,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.03560283687943
2020-08-13,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",2.3984328358209
2020-08-14,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.19788732394366
2020-08-15,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.80965034965035
2020-08-16,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",5.98986013986014
2020-08-17,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.30861313868613
2020-08-18,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.55972027972028
2020-08-19,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.62176056338028
2020-08-20,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.8189928057554
2020-08-21,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.50475524475524
2020-08-22,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.22333333333333
2020-08-23,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.43
2020-08-24,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.57979166666667
2020-08-25,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.61326388888889
2020-08-26,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",3.9790780141844
2020-08-27,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.39979166666667
2020-08-28,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.53972222222222
2020-08-29,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.60979166666667
2020-08-30,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",4.91652777777778
2020-08-31,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",6.43069444444444
2020-09-01,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",8.53229166666667
2020-09-02,"bvre","vera4cast","P1D",1.5,"Chla_ugL_mean",7.87090909090909
